dt;weekday;holiday
2001-01-01;monday;Confraternização Universal
2001-02-26;monday;Carnaval
2001-02-27;tuesday;Carnaval
2001-04-13;friday;Paixão de Cristo
2001-04-21;saturday;Tiradentes
2001-05-01;tuesday;Dia do Trabalho
2001-06-14;thursday;Corpus Christi
2001-09-07;friday;Independência do Brasil
2001-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2001-11-02;friday;Finados
2001-11-15;thursday;Proclamação da República
2001-12-25;tuesday;Natal
2002-01-01;tuesday;Confraternização Universal
2002-02-11;monday;Carnaval
2002-02-12;tuesday;Carnaval
2002-03-29;friday;Paixão de Cristo
2002-04-21;sunday;Tiradentes
2002-05-01;wednesday;Dia do Trabalho
2002-05-30;thursday;Corpus Christi
2002-09-07;saturday;Independência do Brasil
2002-10-12;saturday;Nossa Sr.a Aparecida - Padroeira do Brasil
2002-11-02;saturday;Finados
2002-11-15;friday;Proclamação da República
2002-12-25;wednesday;Natal
2003-01-01;wednesday;Confraternização Universal
2003-03-03;monday;Carnaval
2003-03-04;tuesday;Carnaval
2003-04-18;friday;Paixão de Cristo
2003-04-21;monday;Tiradentes
2003-05-01;thursday;Dia do Trabalho
2003-06-19;thursday;Corpus Christi
2003-09-07;sunday;Independência do Brasil
2003-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2003-11-02;sunday;Finados
2003-11-15;saturday;Proclamação da República
2003-12-25;thursday;Natal
2004-01-01;thursday;Confraternização Universal
2004-02-23;monday;Carnaval
2004-02-24;tuesday;Carnaval
2004-04-09;friday;Paixão de Cristo
2004-04-21;wednesday;Tiradentes
2004-05-01;saturday;Dia do Trabalho
2004-06-10;thursday;Corpus Christi
2004-09-07;tuesday;Independência do Brasil
2004-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2004-11-02;tuesday;Finados
2004-11-15;monday;Proclamação da República
2004-12-25;saturday;Natal
2005-01-01;saturday;Confraternização Universal
2005-02-07;monday;Carnaval
2005-02-08;tuesday;Carnaval
2005-03-25;friday;Paixão de Cristo
2005-04-21;thursday;Tiradentes
2005-05-01;sunday;Dia do Trabalho
2005-05-26;thursday;Corpus Christi
2005-09-07;wednesday;Independência do Brasil
2005-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2005-11-02;wednesday;Finados
2005-11-15;tuesday;Proclamação da República
2005-12-25;sunday;Natal
2006-01-01;sunday;Confraternização Universal
2006-02-27;monday;Carnaval
2006-02-28;tuesday;Carnaval
2006-04-14;friday;Paixão de Cristo
2006-04-21;friday;Tiradentes
2006-05-01;monday;Dia do Trabalho
2006-06-15;thursday;Corpus Christi
2006-09-07;thursday;Independência do Brasil
2006-10-12;thursday;Nossa Sr.a Aparecida - Padroeira do Brasil
2006-11-02;thursday;Finados
2006-11-15;wednesday;Proclamação da República
2006-12-25;monday;Natal
2007-01-01;monday;Confraternização Universal
2007-02-19;monday;Carnaval
2007-02-20;tuesday;Carnaval
2007-04-06;friday;Paixão de Cristo
2007-04-21;saturday;Tiradentes
2007-05-01;tuesday;Dia do Trabalho
2007-06-07;thursday;Corpus Christi
2007-09-07;friday;Independência do Brasil
2007-10-12;friday;Nossa Sr.a Aparecida - Padroeira do Brasil
2007-11-02;friday;Finados
2007-11-15;thursday;Proclamação da República
2007-12-25;tuesday;Natal
2008-01-01;tuesday;Confraternização Universal
2008-02-04;monday;Carnaval
2008-02-05;tuesday;Carnaval
2008-03-21;friday;Paixão de Cristo
2008-04-21;monday;Tiradentes
2008-05-01;thursday;Dia do Trabalho
2008-05-22;thursday;Corpus Christi
2008-09-07;sunday;Independência do Brasil
2008-10-12;sunday;Nossa Sr.a Aparecida - Padroeira do Brasil
2008-11-02;sunday;Finados
2008-11-15;saturday;Proclamação da República
2008-12-25;thursday;Natal
2009-01-01;thursday;Confraternização Universal
2009-02-23;monday;Carnaval
2009-02-24;tuesday;Carnaval
2009-04-10;friday;Paixão de Cristo
2009-04-21;tuesday;Tiradentes
2009-05-01;friday;Dia do Trabalho
2009-06-11;thursday;Corpus Christi
2009-09-07;monday;Independência do Brasil
2009-10-12;monday;Nossa Sr.a Aparecida - Padroeira do Brasil
2009-11-02;monday;Finados
2009-11-15;sunday;Proclamação da República
2009-12-25;friday;Natal
2010-01-01;friday;Confraternização Universal
2010-02-15;monday;Carnaval
2010-02-16;tuesday;Carnaval
2010-04-02;friday;Paixão de Cristo
2010-04-21;wednesday;Tiradentes
2010-05-01;saturday;Dia do Trabalho
2010-06-03;thursday;Corpus Christi
2010-09-07;tuesday;Independência do Brasil
2010-10-12;tuesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2010-11-02;tuesday;Finados
2010-11-15;monday;Proclamação da República
2010-12-25;saturday;Natal
2011-01-01;saturday;Confraternização Universal
2011-03-07;monday;Carnaval
2011-03-08;tuesday;Carnaval
2011-04-21;thursday;Tiradentes
2011-04-22;friday;Paixão de Cristo
2011-05-01;sunday;Dia do Trabalho
2011-06-23;thursday;Corpus Christi
2011-09-07;wednesday;Independência do Brasil
2011-10-12;wednesday;Nossa Sr.a Aparecida - Padroeira do Brasil
2011-11-02;wednesday;Finados
2011-11-15;tuesday;Proclamação da República
2011-12-25;sunday;Natal
2012-01-01;sunday;Confraternização Universal
2012-02-20;monday;Carnaval
2012-02-21;tuesday;Carnaval
2012-04-06;friday;Paixão de Cristo
2012-04-21;saturday;Tiradentes
