dt;dia_semana;feriado
978307200;segunda-feira;Confraternização Universal
983145600;segunda-feira;Carnaval
983232000;terça-feira;Carnaval
987120000;sexta-feira;Paixão de Cristo
987811200;sábado;Tiradentes
988675200;terça-feira;Dia do Trabalho
992476800;quinta-feira;Corpus Christi
999820800;sexta-feira;Independência do Brasil
1002844800;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1004659200;sexta-feira;Finados
1005782400;quinta-feira;Proclamação da República
1009238400;terça-feira;Natal
1009843200;terça-feira;Confraternização Universal
1013385600;segunda-feira;Carnaval
1013472000;terça-feira;Carnaval
1017360000;sexta-feira;Paixão de Cristo
1019347200;domingo;Tiradentes
1020211200;quarta-feira;Dia do Trabalho
1022716800;quinta-feira;Corpus Christi
1031356800;sábado;Independência do Brasil
1034380800;sábado;Nossa Sr.a Aparecida - Padroeira do Brasil
1036195200;sábado;Finados
1037318400;sexta-feira;Proclamação da República
1040774400;quarta-feira;Natal
1041379200;quarta-feira;Confraternização Universal
1046649600;segunda-feira;Carnaval
1046736000;terça-feira;Carnaval
1050624000;sexta-feira;Paixão de Cristo
1050883200;segunda-feira;Tiradentes
1051747200;quinta-feira;Dia do Trabalho
1055980800;quinta-feira;Corpus Christi
1062892800;domingo;Independência do Brasil
1065916800;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
1067731200;domingo;Finados
1068854400;sábado;Proclamação da República
1072310400;quinta-feira;Natal
1072915200;quinta-feira;Confraternização Universal
1077494400;segunda-feira;Carnaval
1077580800;terça-feira;Carnaval
1081468800;sexta-feira;Paixão de Cristo
1082505600;quarta-feira;Tiradentes
1083369600;sábado;Dia do Trabalho
1086825600;quinta-feira;Corpus Christi
1094515200;terça-feira;Independência do Brasil
1097539200;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1099353600;terça-feira;Finados
1100476800;segunda-feira;Proclamação da República
1103932800;sábado;Natal
1104537600;sábado;Confraternização Universal
1107734400;segunda-feira;Carnaval
1107820800;terça-feira;Carnaval
1111708800;sexta-feira;Paixão de Cristo
1114041600;quinta-feira;Tiradentes
1114905600;domingo;Dia do Trabalho
1117065600;quinta-feira;Corpus Christi
1126051200;quarta-feira;Independência do Brasil
1129075200;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1130889600;quarta-feira;Finados
1132012800;terça-feira;Proclamação da República
1135468800;domingo;Natal
1136073600;domingo;Confraternização Universal
1140998400;segunda-feira;Carnaval
1141084800;terça-feira;Carnaval
1144972800;sexta-feira;Paixão de Cristo
1145577600;sexta-feira;Tiradentes
1146441600;segunda-feira;Dia do Trabalho
1150329600;quinta-feira;Corpus Christi
1157587200;quinta-feira;Independência do Brasil
1160611200;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1162425600;quinta-feira;Finados
1163548800;quarta-feira;Proclamação da República
1167004800;segunda-feira;Natal
1167609600;segunda-feira;Confraternização Universal
1171843200;segunda-feira;Carnaval
1171929600;terça-feira;Carnaval
1175817600;sexta-feira;Paixão de Cristo
1177113600;sábado;Tiradentes
1177977600;terça-feira;Dia do Trabalho
1181174400;quinta-feira;Corpus Christi
1189123200;sexta-feira;Independência do Brasil
1192147200;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1193961600;sexta-feira;Finados
1195084800;quinta-feira;Proclamação da República
1198540800;terça-feira;Natal
1199145600;terça-feira;Confraternização Universal
1202083200;segunda-feira;Carnaval
1202169600;terça-feira;Carnaval
1206057600;sexta-feira;Paixão de Cristo
1208736000;segunda-feira;Tiradentes
1209600000;quinta-feira;Dia do Trabalho
1211414400;quinta-feira;Corpus Christi
1220745600;domingo;Independência do Brasil
1223769600;domingo;Nossa Sr.a Aparecida - Padroeira do Brasil
1225584000;domingo;Finados
1226707200;sábado;Proclamação da República
1230163200;quinta-feira;Natal
1230768000;quinta-feira;Confraternização Universal
1235347200;segunda-feira;Carnaval
1235433600;terça-feira;Carnaval
1239321600;sexta-feira;Paixão de Cristo
1240272000;terça-feira;Tiradentes
1241136000;sexta-feira;Dia do Trabalho
1244678400;quinta-feira;Corpus Christi
1252281600;segunda-feira;Independência do Brasil
1255305600;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1257120000;segunda-feira;Finados
1258243200;domingo;Proclamação da República
1261699200;sexta-feira;Natal
1262304000;sexta-feira;Confraternização Universal
1266192000;segunda-feira;Carnaval
1266278400;terça-feira;Carnaval
1270166400;sexta-feira;Paixão de Cristo
1271808000;quarta-feira;Tiradentes
1272672000;sábado;Dia do Trabalho
1275523200;quinta-feira;Corpus Christi
1283817600;terça-feira;Independência do Brasil
1286841600;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
1288656000;terça-feira;Finados
1289779200;segunda-feira;Proclamação da República
1293235200;sábado;Natal
1293840000;sábado;Confraternização Universal
1299456000;segunda-feira;Carnaval
1299542400;terça-feira;Carnaval
